year,ava,mva,aal
2001,54194672000,50078436000,59425300000
2002,48958824000,44882124000,63215643000
2003,48899215000,44802544000,65936357000
2004,52253798000,51411500000,69867425000
2005,53765570000,56182480000,73817114000
2006,58008050000,62126072000,77371024000
2007,66671511000,72935432000,81126642000
2008,69198008000,66837412000,87432348000
2009,54902859000,50095720000,91440955000
2010,55946259000,54140412000,94720669000
2011,58110495000,63116712000,98766204000
2012,59489508000,60693620000,1.06302E+11
2013,62590786000,64705984000,94366694000
2014,66657175000,70988656000,96167057000
2015,68655999000,70432648000,99014654000
2016,70114637000,66250104000,1.00756E+11
2017,72216212000,71118704000,96126440000
2018,73115358000,73457568000,96904057000
2019,74411836000,74096240000,97840944000
2020,76357681000,72728360000,98672288000
2021,83761394000,89379040000,1.04591E+11
2022,85141845586,80860432000,1.05264E+11
